,Obs time,Flux,Flux error
0,59822.91550269676,12844.825,3.7058655000000003
1,59822.91607491898,10276.45,3.5989195
2,59822.919972407406,10251.225,3.6219755
3,59822.92026133102,10317.68,3.5977125
4,59822.92055792824,10302.055,3.6018909999999997
5,59822.9208528125,10275.130000000001,3.6059575
6,59822.92114226852,10276.460000000001,3.596031
7,59822.921433668984,10308.960000000001,3.6073009999999996
8,59822.92173055556,10307.965,3.6029015
9,59822.92202733796,10358.595,3.6100115
10,59822.92232344907,10366.189999999999,3.6126840000000002
11,59822.92261216435,10291.145,3.614542
12,59822.92290071759,10273.91,3.60683
13,59822.92319530093,10333.23,3.6007689999999997
14,59822.92349224537,10340.865,3.6079375
15,59822.923787858796,10362.795,3.597473
16,59822.924085439816,10268.39,3.6048769999999997
17,59822.924381770834,10338.4,3.5996375
18,59822.92467201389,10319.635,3.595478
19,59822.92496818287,10342.865,3.6172674999999996
20,59822.92525579861,10328.685000000001,3.6239885000000003
21,59822.92554204861,10314.91,3.6269959999999997
22,59822.92582855324,10321.135,3.6353445
23,59822.92611486111,10308.119999999999,3.6354415
24,59822.92640118056,10307.955,3.62995
25,59822.92668708333,10329.585000000001,3.614317
26,59822.92697344907,10344.86,3.623416
27,59822.92726011574,10371.14,3.637789
28,59822.92754657407,10339.61,3.627191
29,59822.92783325232,10343.84,3.6130555
30,59822.928119351855,10330.135,3.6175725
31,59822.92840601852,10308.289999999999,3.6098445
32,59822.92869494213,10360.73,3.6094904999999997
33,59822.928990162036,10362.58,3.6193750000000002
34,59822.929285983795,10287.61,3.6071485
35,59822.929582766206,10348.77,3.604907
36,59822.92987925926,10324.95,3.620946
37,59822.930175775466,10367.18,3.716672
38,59822.930473148146,10323.564999999999,3.6378234999999997
39,59822.930770625,9843.695,3.6167050000000005
40,59822.93106791667,10332.0,3.610143
41,59822.93135688658,10381.77,3.6231815
42,59822.93164650463,10336.539999999999,3.6274515000000003
43,59822.93194105324,10330.135,3.616359
44,59822.9322353125,10334.955,3.6098765
45,59822.93253116898,10335.955,3.6017305
46,59822.93282380787,10322.98,3.5941895
47,59822.933119560184,10340.405,3.599785
48,59822.933414467596,10352.119999999999,3.603016
49,59822.93370997685,10381.414999999999,3.602516
50,59822.9340078125,10422.045,3.6024900000000004
51,59822.934304270835,10391.855,3.596585
52,59822.934600092594,10347.119999999999,3.601719
53,59822.93489633102,10331.885,3.609968
54,59822.935192592595,10330.735,3.599875
55,59822.9354893287,10365.9,3.5973835000000003
56,59822.93578599537,10358.814999999999,3.6119174999999997
57,59822.936077569444,10340.84,3.610322
58,59822.93637188657,10341.265,3.6144635000000003
59,59822.93666638889,10390.255000000001,3.606429
60,59822.93696103009,10349.1,3.612081
61,59822.937255046294,10334.175,3.604904
62,59822.93754820602,10352.560000000001,3.608823
63,59822.93784326389,10338.015,3.6146845
64,59822.93813824074,10342.585000000001,3.6117310000000002
65,59822.93843283565,10352.885,3.6006295
66,59822.93872829861,10338.53,3.5937965
67,59822.9390227662,10352.855,3.6107325
68,59822.93931736111,10353.3,3.6025
69,59822.93961177083,10413.955,3.6086945
70,59822.939907002314,10348.164999999999,3.61715
71,59822.94020099537,10332.375,3.619941
72,59822.94049487269,10330.35,3.6101585
73,59822.94078931713,10356.155,3.6199489999999996
74,59822.941083460646,10377.93,3.620968
75,59822.94137768519,10338.265,3.6187935
76,59822.94167251157,10333.5,3.6033655
77,59822.9419678125,10350.914999999999,3.6152445
78,59822.94226255787,10386.414999999999,3.6166964999999998
79,59822.942557916664,10304.189999999999,3.6038355
80,59822.942851875,10385.465,3.6051580000000003
81,59822.943145717596,10333.11,3.5932070000000005
82,59822.94344106482,10354.685000000001,3.612787
83,59822.94373288195,10355.445,3.614307
84,59822.94402771991,10296.625,3.6064415
85,59822.94432210648,10333.994999999999,3.613955
86,59822.94461711805,10312.689999999999,3.618961
87,59822.94491133102,10332.560000000001,3.6198995
88,59822.945206006945,10336.11,3.6071685
89,59822.94550134259,10383.145,3.6217115
90,59822.94579506944,10385.07,3.6182795
91,59822.94609025463,10433.310000000001,3.6013125
92,59822.946384375,10393.76,3.615544
93,59822.94667434028,10342.735,3.6109205
94,59822.94696912037,10356.795,3.6073180000000002
95,59822.94726388889,10392.45,3.6161454999999996
96,59822.94755819444,10370.705,3.606466
97,59822.94785365741,10347.555,3.6213360000000003
98,59822.94814699074,10347.55,3.6153585
99,59822.94844040509,10332.505000000001,3.6198900000000003
100,59822.94873539352,10325.42,3.619946
101,59822.94902936342,10409.975,3.611457
102,59822.94932314815,10365.875,3.6188209999999996
103,59822.94961667824,10355.255000000001,3.6155295
104,59822.94991099537,10347.11,3.6286955
105,59822.9502055787,10341.405,3.609292
106,59822.95049991898,10338.115,3.6112900000000003
107,59822.95079519676,10316.085000000001,3.6222645
108,59822.951089675924,10365.555,3.610716
109,59822.951384803244,10349.380000000001,3.6038474999999996
110,59822.95167913195,10284.619999999999,3.6238639999999998
111,59822.9519733912,10275.985,3.6122755
112,59822.95226832176,10275.59,3.621332
113,59822.95256355324,10344.08,3.622077
114,59822.952858240744,10351.405,3.6113085
115,59822.95315327546,10261.3,3.6102220000000003
116,59822.95344858796,10293.975,3.6149324999999997
117,59822.95374171296,10339.36,3.6246169999999998
118,59822.954036400464,10292.11,3.6120399999999995
119,59822.95433060185,10295.75,3.6243814999999997
120,59822.95462525463,10259.685000000001,3.6186095000000003
121,59822.95492037037,10322.195,3.6153264999999997
122,59822.95521517361,10254.855,3.6235045
123,59822.955509444444,10274.105,3.6094169999999997
124,59822.9558030787,10341.22,3.6184184999999998
125,59822.95609707176,10276.6,3.61565
126,59822.956391377316,10219.17,3.6149335000000002
127,59822.95668329861,10308.36,3.6381205000000003
128,59822.9569777662,10188.355,3.6080195
129,59822.95727306713,10214.869999999999,3.6313435
130,59822.95756721065,10172.615,3.6213205000000004
131,59822.957860648145,10224.125,3.618696
132,59822.95815412037,10220.61,3.621302
133,59822.95844834491,10244.72,3.6061895
134,59822.95874304398,10241.32,3.6224235
135,59822.95903775463,10204.07,3.6191575
136,59822.95933171296,10194.905,3.632087
137,59822.95962439815,10177.615,3.6227935
138,59822.959920104164,10193.07,3.6210575
139,59822.96021517361,10211.26,3.624393
140,59822.960509930555,10240.210000000001,3.6241275
141,59822.96080574074,10187.825,3.6183875
142,59822.961101203706,10133.135,3.6222374999999998
143,59822.96139568287,10166.414999999999,3.6252245000000003
144,59822.96169060185,10152.675,3.6174169999999997
145,59822.96198508102,10176.494999999999,3.612353
146,59822.96227984954,10136.175,3.6305715
147,59822.96257474537,10119.119999999999,3.6124720000000003
148,59822.96286965278,10193.78,3.629374
149,59822.96316407408,10134.72,3.6081429999999997
150,59822.96345821759,10160.515,3.61721
151,59822.96375270833,10096.975,3.633981
152,59822.96404738426,10109.45,3.6170540000000004
153,59822.96434233796,10134.735,3.6177225
154,59822.96463578704,10103.86,3.6174714999999997
155,59822.96493028935,10155.325,3.6130229999999997
156,59822.96522519676,10044.2,3.6176180000000002
157,59822.96551952546,10134.43,3.6202154999999996
158,59822.965814456016,10105.755000000001,3.6367095
159,59822.9661091088,10054.33,3.6270119999999997
160,59822.96640416667,10141.025,3.623834
161,59822.96669875,10027.52,3.612782
162,59822.96699422454,10095.805,3.621833
163,59822.96728907408,10061.74,3.615856
164,59822.96758491898,10066.175,3.603836
165,59822.967880648146,10065.289999999999,3.6015070000000002
166,59822.968175208334,10056.83,3.6211305000000005
167,59822.968470023145,10079.105,3.6113259999999996
168,59822.96876393518,10065.335000000001,3.6165469999999997
169,59822.96905681713,10085.77,3.6127434999999997
170,59822.969350810185,10052.135,3.620432
171,59822.9696447338,10101.210000000001,3.6048470000000004
172,59822.969938194445,10046.235,3.6028395000000004
173,59822.970232604166,10062.905,3.6110169999999995
174,59822.97052674768,10079.45,3.6174120000000003
175,59822.97082119213,10077.1,3.6211075
176,59822.971115671295,10052.335000000001,3.6109769999999997
177,59822.97140859954,10010.635,3.6231275
178,59822.97170248842,10066.175,3.614776
179,59822.97199667824,10090.53,3.633268
180,59822.9722908912,10069.435000000001,3.6252969999999998
181,59822.97258541667,10053.32,3.6154265000000003
182,59822.972880775465,10103.380000000001,3.617355
183,59822.97317439815,10042.414999999999,3.6245985
184,59822.97346898148,10053.51,3.6124229999999997
185,59822.97376392361,10045.814999999999,3.6317115
186,59822.97405060185,10084.3,3.6295285
187,59822.97434364583,10082.635,3.6286095000000005
188,59822.97463707176,10025.42,3.6111905
189,59822.974931689816,10042.025,3.6109074999999997
190,59822.97522556713,10083.9,3.6106205000000005
191,59822.975519872685,10028.28,3.6220665
192,59822.97581405093,10051.89,3.6137430000000004
193,59822.97610665509,10067.405,3.630943
194,59822.976401087966,10106.695,3.627017
195,59822.97669481482,10045.35,3.6222380000000003
196,59822.976987407405,10060.89,3.6206975
197,59822.97728138889,10022.385,3.6142515000000004
198,59822.97757415509,10047.095,3.6103615
199,59822.977868877315,10038.210000000001,3.6153619999999997
200,59822.97816239583,10078.85,3.623666
201,59822.97845730324,10040.164999999999,3.6129515
202,59822.97875195602,10070.48,3.6101750000000004
203,59822.97904615741,10052.275,3.6373334999999996
204,59822.97933976852,10007.01,3.6091504999999997
205,59822.97963363426,10047.49,3.606102
206,59822.97992824074,10061.215,3.621929
207,59822.980221875,10072.845,3.624999
208,59822.98051552083,9990.45,3.6215249999999997
209,59822.98080921296,10044.89,3.6327385
210,59822.981103101854,9934.244999999999,3.6299855
211,59822.98139756944,10008.085000000001,3.6265994999999998
212,59822.98169180556,10007.715,3.6259155
213,59822.98198553241,10019.22,3.6177504999999996
214,59822.98227945602,10018.189999999999,3.630145
215,59822.98257251157,9967.35,3.6223199999999998
216,59822.982865844904,10021.34,3.6257495
