line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    1.600000  0.916569  3.937113  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874617E-05  2.8232488E-04  2.4507751E-03  9.7097199E-07  5.5284602E-06  8.0438133E-04  6.5060719E-05  0.000E+00  0.1177  3.937113  -14.531  1.961031  7.295412  7.3495164E-01  2.5887622E-01  5.8229056E-06  1.5719348E-06  1.4334842E-03  2.4225506E-03  3.0965520E-05  1.0309636E-08  8.0438133E-04  6.5060719E-05  0.000E+00  2.051E-05  1.970E-05  9.959E-01  1.005E+00  2.11E+02  0.00E+00  1.91E+01  0.037112  0.000087  0.0000000E+00  1.4157983603E-04       4.427     1.28    2.4586    2.5186   -0.0145    0.0534    0.0457    0.0925    0.0428    0.0058    0.1910   -0.0191   -0.0091   -0.0802         0   -0.0600
  2  3.147040935315050E+07    1.600000  0.920575  3.937522  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874617E-05  2.8232488E-04  2.4507751E-03  9.7097199E-07  5.5284602E-06  8.0438133E-04  6.5060719E-05  0.000E+00  0.1209  3.937522  -14.531  1.964353  7.297365  7.2661003E-01  2.6721476E-01  5.8973624E-06  1.5917661E-06  1.4431760E-03  2.3346632E-03  1.1242507E-04  3.1554081E-08  8.0438133E-04  6.5060719E-05  0.000E+00  1.900E-05  2.079E-05  9.969E-01  1.004E+00  2.11E+02  0.00E+00  1.75E+01  0.033045  0.000087  0.0000000E+00  1.4157983603E-04       4.425     1.28    2.4486    2.5094   -0.0152    0.0526    0.0453    0.0915    0.0424    0.0057    0.1890   -0.0190   -0.0095   -0.0794         0   -0.0608
  3  6.183157766199266E+07    1.600000  0.924676  3.937707  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874617E-05  2.8232488E-04  2.4507751E-03  9.7097199E-07  5.5284602E-06  8.0438133E-04  6.5060719E-05  0.000E+00  0.1196  3.937707  -14.531  1.968013  7.298960  7.1840656E-01  2.7541796E-01  6.0159193E-06  1.6235240E-06  1.4650864E-03  2.2484273E-03  1.7721824E-04  4.9890675E-08  8.0438133E-04  6.5060719E-05  0.000E+00  1.841E-05  2.172E-05  9.971E-01  1.003E+00  2.10E+02  0.00E+00  1.70E+01  0.031906  0.000088  0.0000000E+00  1.4157983603E-04       4.421     1.29    2.4383    2.4995   -0.0156    0.0522    0.0451    0.0911    0.0421    0.0057    0.1881   -0.0190   -0.0097   -0.0790         0   -0.0612
  4  9.150050129728964E+07    1.600000  0.928487  3.937782  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874617E-05  2.8232488E-04  2.4507751E-03  9.7097199E-07  5.5284602E-06  8.0438133E-04  6.5060719E-05  0.000E+00  0.1192  3.937782  -14.531  1.971017  7.300477  7.1027381E-01  2.8355267E-01  6.1691103E-06  1.6644939E-06  1.4972279E-03  2.1635647E-03  2.2807051E-04  6.4292987E-08  8.0438133E-04  6.5060719E-05  0.000E+00  1.793E-05  2.227E-05  9.973E-01  1.003E+00  2.10E+02  0.00E+00  1.66E+01  0.031015  0.000089  0.0000000E+00  1.4157983603E-04       4.418     1.29    2.4288    2.4900   -0.0158    0.0520    0.0450    0.0908    0.0420    0.0057    0.1876   -0.0190   -0.0098   -0.0788         0   -0.0612
  5  1.206736567383651E+08    1.600000  0.932058  3.937783  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874617E-05  2.8232488E-04  2.4507751E-03  9.7097199E-07  5.5284602E-06  8.0438133E-04  6.5060719E-05  0.000E+00  0.1194  3.937783  -14.531  1.973814  7.301977  7.0212036E-01  2.9170987E-01  6.3492306E-06  1.7126798E-06  1.5378584E-03  2.0793813E-03  2.6784848E-04  7.5570984E-08  8.0438133E-04  6.5060719E-05  0.000E+00  1.761E-05  2.264E-05  9.974E-01  1.003E+00  2.09E+02  0.00E+00  1.63E+01  0.030509  0.000090  0.0000000E+00  1.4157983603E-04       4.414     1.30    2.4199    2.4810   -0.0159    0.0520    0.0450    0.0908    0.0420    0.0057    0.1876   -0.0190   -0.0098   -0.0788         0   -0.0611
  6  1.494793980251946E+08    1.600000  0.935901  3.937833  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874617E-05  2.8232488E-04  2.4507751E-03  9.7097199E-07  5.5284602E-06  8.0438133E-04  6.5060719E-05  0.000E+00  0.1189  3.937833  -14.531  1.976962  7.303493  6.9388099E-01  2.9995480E-01  6.5678611E-06  1.7711051E-06  1.5864027E-03  1.9947256E-03  2.9845266E-04  8.4292905E-08  8.0438133E-04  6.5060719E-05  0.000E+00  1.741E-05  2.301E-05  9.974E-01  1.003E+00  2.09E+02  0.00E+00  1.62E+01  0.030243  0.000091  0.0000000E+00  1.4157983603E-04       4.411     1.30    2.4102    2.4714   -0.0162    0.0518    0.0449    0.0906    0.0419    0.0057    0.1872   -0.0190   -0.0099   -0.0786         0   -0.0611
  7  1.771283114118629E+08    1.600000  0.939436  3.937775  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874617E-05  2.8232488E-04  2.4507751E-03  9.7097199E-07  5.5284602E-06  8.0438133E-04  6.5060719E-05  0.000E+00  0.1187  3.937775  -14.531  1.979726  7.304900  6.8579102E-01  3.0805140E-01  6.7975071E-06  1.8325200E-06  1.6388752E-03  1.9132281E-03  3.2091405E-04  9.0675380E-08  8.0438133E-04  6.5060719E-05  0.000E+00  1.723E-05  2.319E-05  9.975E-01  1.003E+00  2.08E+02  0.00E+00  1.61E+01  0.030091  0.000091  0.0000000E+00  1.4157983603E-04       4.407     1.31    2.4014    2.4623   -0.0162    0.0518    0.0449    0.0907    0.0420    0.0057    0.1874   -0.0190   -0.0099   -0.0787         0   -0.0609
  8  2.047257318660116E+08    1.600000  0.942927  3.937664  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874617E-05  2.8232488E-04  2.4507751E-03  9.7097199E-07  5.5284602E-06  8.0438133E-04  6.5060719E-05  0.000E+00  0.1188  3.937664  -14.531  1.982374  7.306273  6.7765389E-01  3.1619600E-01  7.0422266E-06  1.8979845E-06  1.6954939E-03  1.8333265E-03  3.3661986E-04  9.5122616E-08  8.0438133E-04  6.5060719E-05  0.000E+00  1.706E-05  2.326E-05  9.975E-01  1.003E+00  2.08E+02  0.00E+00  1.60E+01  0.029960  0.000092  0.0000000E+00  1.4157983603E-04       4.403     1.32    2.3927    2.4533   -0.0162    0.0520    0.0450    0.0909    0.0421    0.0057    0.1879   -0.0190   -0.0098   -0.0788         0   -0.0606
  9  2.321135451336336E+08    1.600000  0.946443  3.937535  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874617E-05  2.8232488E-04  2.4507751E-03  9.7097199E-07  5.5284602E-06  8.0438133E-04  6.5060719E-05  0.000E+00  0.1185  3.937535  -14.531  1.985113  7.307678  6.6940235E-01  3.2445596E-01  7.3092303E-06  1.9694993E-06  1.7562133E-03  1.7536953E-03  3.4702132E-04  9.8099234E-08  8.0438133E-04  6.5060719E-05  0.000E+00  1.693E-05  2.334E-05  9.975E-01  1.003E+00  2.07E+02  0.00E+00  1.60E+01  0.029917  0.000093  0.0000000E+00  1.4157983603E-04       4.399     1.32    2.3839    2.4441   -0.0162    0.0521    0.0450    0.0911    0.0422    0.0057    0.1884   -0.0190   -0.0097   -0.0790         0   -0.0602
